Title,Link,Date_Fetched
"Canadians are ready for Chinese-made autos, but experts note there are security risks",https://www.cbc.ca/news/business/canadians-chinese-electric-vehicles-9.7087040?cmp=rss,2026-02-16 14:54:35
"Tourism was once an 'economic locomotive' in Cuba. Now, the train is coming off the tracks",https://www.cbc.ca/news/business/cuban-economy-tourism-trump-survival-9.7082765?cmp=rss,2026-02-16 14:54:35
Car dealers seek reimbursement for EVs sold under old rebate program as new one launches today,https://www.cbc.ca/news/politics/ev-rebate-program-launch-9.7092172?cmp=rss,2026-02-16 14:54:35
"Amid 'Buy Canadian' fervour, Canada's top pension funds still heavily invested in U.S.",https://www.cbc.ca/news/investigates/cpp-us-investments-record-assests-9.7088667?cmp=rss,2026-02-16 14:54:35
"Canadian restaurants struggling to turn a profit, new report says",https://www.cbc.ca/news/business/restaurants-struggling-financially-9.7086668?cmp=rss,2026-02-16 14:54:35
"Deal between Ontario and Diageo panned by mayor, union in Amherstburg as plant prepares to close",https://www.cbc.ca/news/canada/windsor/amherstburg-diegeo-crown-royal-plant-closure-9.7088676?cmp=rss,2026-02-16 14:54:35
Ottawa needs more data to probe claims of unpaid work at airlines: minister,https://www.cbc.ca/news/politics/unpaid-work-airlines-9.7087203?cmp=rss,2026-02-16 14:54:35
Kraft Heinz halts plans to split company,https://www.cbc.ca/news/business/kraft-heinz-halts-company-split-9.7085808?cmp=rss,2026-02-16 14:54:35
Why some Canadian companies are turning their workers into owners instead of selling to the U.S.,https://www.cbc.ca/news/canada/calgary/bakx-eot-employee-ownership-trust-capital-gains-exemption-9.7083436?cmp=rss,2026-02-16 14:54:35
"Stellantis keeping 650 staff hired for EV research in Canada, despite broader pullback",https://www.cbc.ca/news/canada/windsor/stellantis-electric-vehicle-windsor-research-battery-nextstar-9.7083566?cmp=rss,2026-02-16 14:54:35
